title,release_year,duration,calification,cast
Sueño de fuga,1994,142,9.3,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
El padrino,1972,175,9.2,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
Batman: El caballero de la noche,2008,152,9,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
El padrino (parte II),1974,202,9,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']"
12 hombres en pugna,1957,96,9,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']"
El señor de los anillos: El retorno del rey,2003,201,9,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
La Lista de Schindler,1993,195,9,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']"
Tiempos violentos,1994,154,8.8,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
El señor de los anillos: La comunidad del anillo,2001,178,8.9,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
"El bueno, el malo y el feo",1966,161,8.8,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']"
Forrest Gump,1994,142,8.8,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
El señor de los anillos: Las dos torres,2002,179,8.8,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
El club de la pelea,1999,139,8.8,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
El origen,2010,148,8.8,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']"
El imperio contraataca,1980,124,8.7,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
Matrix,1999,136,8.7,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']"
Buenos muchachos,1990,145,8.7,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']"
Interestelar,2014,169,8.7,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
Atrapado sin salida,1975,133,8.7,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']"
Seven,1995,127,8.6,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']"
¡Qué bello es vivir!,1946,130,8.6,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']"
El silencio de los inocentes,1991,118,8.6,"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine']"
Los siete samuráis,1954,207,8.6,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']"
Rescatando al soldado Ryan,1998,169,8.6,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']"
