"decada","titulo","anio","duracion"
1920,"Metrópolis",1927,153
1920,"La pasión de Juana de Arco",1928,110
1920,"La quimera del oro",1925,95
1920,"La General",1926,78
1920,"El chico",1921,68
1930,"Lo que el viento se llevó",1939,238
1930,"Caballero sin espada",1939,129
1930,"M el Maldito",1931,117
1930,"El mago de Oz",1939,102
1930,"Tiempos modernos",1936,87
1940,"Los mejores años de nuestras vidas",1946,170
1940,"¡Qué bello es vivir!",1946,130
1940,"Las viñas de la ira",1940,129
1940,"El tesoro de la Sierra Madre",1948,126
1940,"El gran dictador",1940,125
1950,"Ben-Hur",1959,212
1950,"Los siete samuráis",1954,207
1950,"El puente sobre el río Kwai",1957,161
1950,"El salario del miedo",1953,156
1950,"Vivir",1952,143
1960,"Lawrence de Arabia",1962,227
1960,"Juicio en Nuremberg",1961,179
1960,"La novicia rebelde",1965,172
1960,"El gran escape",1963,172
1960,"Érase una vez en el oeste",1968,166
1970,"El padrino (parte II)",1974,202
1970,"Barry Lyndon",1975,185
1970,"El francotirador",1978,183
1970,"El padrino",1972,175
1970,"Apocalipsis",1979,147
1980,"Érase una vez en América",1984,229
1980,"Cinema Paradiso",1988,174
1980,"Caracortada",1983,170
1980,"Ran",1985,160
1980,"Amadeus",1984,160
1990,"La Lista de Schindler",1993,195
1990,"Milagros inesperados",1999,189
1990,"Casino",1995,178
1990,"Corazón valiente",1995,178
1990,"Fuego contra fuego",1995,170
2000,"El señor de los anillos: El retorno del rey",2003,201
2000,"El señor de los anillos: Las dos torres",2002,179
2000,"El señor de los anillos: La comunidad del anillo",2001,178
2000,"3 Idiots",2009,170
2000,"Like stars on Earth",2007,162
2010,"Gangs of Wasseypur",2012,321
2010,"Avengers: Endgame",2019,181
2010,"El lobo de Wall Street",2013,180
2010,"Interestelar",2014,169
2010,"Django sin cadenas",2012,165
2020,"Oppenheimer",2023,180
2020,"Duna: Parte Dos",2024,166
2020,"Jai Bhim",2021,164
2020,"Hamilton",2020,160
2020,"Spider-Man: Sin Camino A Casa",2021,148
